Consumption (kWh), Start, End, Price
0.314, 2023-08-16T14:00+01:00, 2023-08-16T14:00+01:00, 16.9365
0.279, 2023-08-16T14:30+01:00, 2023-08-16T14:30+01:00, 17.283
0.282, 2023-08-16T15:00+01:00, 2023-08-16T15:00+01:00, 17.283
0.265, 2023-08-16T15:30+01:00, 2023-08-16T15:30+01:00, 17.8815
0.259, 2023-08-16T16:00+01:00, 2023-08-16T16:00+01:00, 32.424
0.298, 2023-08-16T16:30+01:00, 2023-08-16T16:30+01:00, 35.2695
0.592, 2023-08-16T17:00+01:00, 2023-08-16T17:00+01:00, 35.112
0.454, 2023-08-16T17:30+01:00, 2023-08-16T17:30+01:00, 37.9995
0.35, 2023-08-16T18:00+01:00, 2023-08-16T18:00+01:00, 41.265
0.208, 2023-08-16T18:30+01:00, 2023-08-16T18:30+01:00, 41.265
0.32, 2023-08-16T19:00+01:00, 2023-08-16T19:00+01:00, 27.867
0.282, 2023-08-16T19:30+01:00, 2023-08-16T19:30+01:00, 27.342
0.287, 2023-08-16T20:00+01:00, 2023-08-16T20:00+01:00, 27.1635
0.338, 2023-08-16T20:30+01:00, 2023-08-16T20:30+01:00, 27.1635
0.317, 2023-08-16T21:00+01:00, 2023-08-16T21:00+01:00, 26.46
0.328, 2023-08-16T21:30+01:00, 2023-08-16T21:30+01:00, 22.932
0.355, 2023-08-16T22:00+01:00, 2023-08-16T22:00+01:00, 21.987
0.311, 2023-08-16T22:30+01:00, 2023-08-16T22:30+01:00, 19.1835
0.299, 2023-08-16T23:00+01:00, 2023-08-16T23:00+01:00, 19.95
0.335, 2023-08-16T23:30+01:00, 2023-08-16T23:30+01:00, 20.9895
0.361, 2023-08-17T00:00+01:00, 2023-08-17T00:00+01:00, 19.068
0.348, 2023-08-17T00:30+01:00, 2023-08-17T00:30+01:00, 16.317
0.225, 2023-08-17T01:00+01:00, 2023-08-17T01:00+01:00, 18.081
0.246, 2023-08-17T01:30+01:00, 2023-08-17T01:30+01:00, 17.0625
0.208, 2023-08-17T02:00+01:00, 2023-08-17T02:00+01:00, 16.842
0.226, 2023-08-17T02:30+01:00, 2023-08-17T02:30+01:00, 15.918
